fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,6498,-0.7819760669873349,0.6929143606819903
0,2,6498,-0.5748994857780264,0.7196608543482413
0,3,6498,-0.39562195063443867,0.7289979626421267
0,4,6498,-0.23289077915378537,0.7347438923480794
0,5,6498,-0.07010215806207158,0.7410165377915393
0,6,6498,0.09049147757805162,0.7474674658998464
0,7,6498,0.2506777663009363,0.7492655110210973
0,8,6498,0.4143075725794729,0.7377545727704665
0,9,6498,0.5990628285406543,0.7272366367940226
0,10,6498,0.819548908515619,0.7504117555705937
1,1,6462,-0.77230389498187,0.6874266450631951
1,2,6462,-0.5687192982819047,0.7166363409593369
1,3,6462,-0.3953429576226781,0.7276897951042982
1,4,6462,-0.23435646808333582,0.7342315305684863
1,5,6462,-0.07222035439061583,0.738132779312716
1,6,6462,0.0889871214122026,0.745321734680805
1,7,6462,0.2493576772151819,0.7463572593096782
1,8,6462,0.41041004505960027,0.7334457352060025
1,9,6462,0.5925310070953487,0.7223584334422289
1,10,6462,0.8118964275121733,0.7412023258638964
2,1,6498,-0.780819152674963,0.7060588850276154
2,2,6498,-0.5774523046032478,0.7233784620412383
2,3,6498,-0.40317529377778927,0.7348255876648063
2,4,6498,-0.2391211464795267,0.7424229324180589
2,5,6498,-0.074261500192797,0.7456040918211216
2,6,6498,0.09090176682470091,0.752138231344216
2,7,6498,0.25695351601254485,0.7546606365296136
2,8,6498,0.4216103379255945,0.7437453437961301
2,9,6498,0.6021439018937006,0.7301324930893921
2,10,6498,0.8194305831573901,0.7558862197724437
3,1,6498,-0.7733552371703546,0.6812243389748017
3,2,6498,-0.567473261174064,0.714462785203743
3,3,6498,-0.3926393955175183,0.7248927251202163
3,4,6498,-0.2314529768059464,0.7311923311267599
3,5,6498,-0.0704835153907617,0.7376704154693445
3,6,6498,0.08753923889260692,0.7443813408871508
3,7,6498,0.247274904026239,0.7451788632456683
3,8,6498,0.4088611784947942,0.7344228541855599
3,9,6498,0.5908737197144471,0.7235699129939016
3,10,6498,0.8125071108206902,0.7426485553263716
4,1,6498,-0.7705360637817745,0.6958808534213663
4,2,6498,-0.5631808784640207,0.7231618156634716
4,3,6498,-0.38885212452221624,0.7313674926617028
4,4,6498,-0.22785912690997095,0.7363566746846676
4,5,6498,-0.06816974675699725,0.7437611750200435
4,6,6498,0.08708405019017683,0.7489653442475628
4,7,6498,0.24543623307387616,0.7495613258821383
4,8,6498,0.406341274088849,0.7379466440872015
4,9,6498,0.5877249531547442,0.7288198275636426
4,10,6498,0.8094661479208094,0.7506148262511906
