fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,6571,-0.7885751631586354,0.5126449209454295
0,2,6571,-0.5683445646092116,0.5858258300079981
0,3,6571,-0.38593488429043976,0.6183673326418054
0,4,6570,-0.21150521781851533,0.6430934377590352
0,5,6570,-0.03020698195254371,0.6618952565368481
0,6,6570,0.14838043727242467,0.6656087457043534
0,7,6570,0.31579904772468764,0.6643921270476953
0,8,6570,0.4740186522462322,0.6682280166822566
0,9,6570,0.6345071099496421,0.6719535543899633
0,10,6570,0.8285712792025246,0.692475960589748
1,1,6571,-0.7959851442166678,0.518817804163617
1,2,6571,-0.5772641422842824,0.5908902269346594
1,3,6571,-0.39341772199339886,0.6252482852922432
1,4,6570,-0.2131244870059556,0.6489230506039118
1,5,6570,-0.025537341160541457,0.6670243779306589
1,6,6570,0.15639946000688743,0.6672160713335935
1,7,6570,0.32552749225854805,0.6696577034166655
1,8,6570,0.4855623329866054,0.6679421311549703
1,9,6570,0.6449098343327553,0.675748966390607
1,10,6570,0.8353601252413276,0.6976144495582685
2,1,6571,-0.7876294021686374,0.5245327526855231
2,2,6571,-0.5660778476004603,0.5905329438104708
2,3,6571,-0.3812425891140934,0.6273460501117385
2,4,6570,-0.2046120359968782,0.6485862257903812
2,5,6570,-0.023418066799290732,0.6638966542796635
2,6,6570,0.15072188450153295,0.6646829989386277
2,7,6570,0.31350120779054397,0.6654913839877664
2,8,6570,0.4725706473041427,0.6657835934941502
2,9,6570,0.634052764854734,0.6720479809225133
2,10,6570,0.8280360855481728,0.6885388170647023
3,1,6571,-0.7988483629978886,0.49708096422261133
3,2,6571,-0.5825713577558229,0.5718004240121206
3,3,6571,-0.39918769246808417,0.6086767435583398
3,4,6570,-0.21832414659611885,0.6338327475502572
3,5,6570,-0.027543394568087656,0.6579815516093566
3,6,6570,0.15701878809663905,0.6563871803360429
3,7,6570,0.3309917238240857,0.6560387457668605
3,8,6570,0.4923015757678008,0.6582751672652679
3,9,6570,0.6511195954209894,0.6631191154945375
3,10,6570,0.837851097976403,0.6861504527774063
4,1,6571,-0.7939910038339891,0.5076721472855656
4,2,6571,-0.5731807816402409,0.5813677927448313
4,3,6571,-0.39043347655109095,0.6175507600506299
4,4,6570,-0.21147819198947693,0.6445334524146853
4,5,6570,-0.026386026948994078,0.6618306074535977
4,6,6570,0.1535893505322544,0.6639849594242999
4,7,6570,0.32111645022205615,0.664563808599715
4,8,6570,0.48045499043801176,0.6658361857129057
4,9,6570,0.640281159254546,0.6715872056745984
4,10,6570,0.832331417422008,0.6956929473900608
