fold,density,n_train_patients,n_eval_patients,n_channels,n_valid_profile_channels,profile_channel_coverage,n_graph_edges,n_valid_edges,mean_edge_weight,edge_semantic_similarity,matched_nonedge_semantic_similarity,edge_minus_matched_nonedge,matched_exact_stratum_rate,primary_permutation_effect_mean,primary_permutation_effect_sd,primary_permutation_p_fold,topology_edge_similarity_mean_secondary,topology_edge_similarity_sd_secondary,topology_edge_similarity_p_fold_secondary,topology_observed_edge_similarity_secondary,topology_successful_rewires,topology_failed_rewires,topology_mean_edge_change_fraction,pairwise_coupling_semantic_rho_descriptive,global_nmi,global_ari,n_communities,mean_profile_mass
0,0.01,288,72,384,363,0.9453125,736,736,0.9502518643726627,0.7400232198969464,0.5502075668601769,0.1898156530367695,1.0,0.00017668941609427492,0.012644930195422273,0.000999000999000999,0.6091563677709113,0.005159195817363666,0.009900990099009901,0.7400232198969464,100,0,0.7459646739130436,0.2275420834852382,0.4396667062864182,0.06029673807385595,200,0.20299036748358038
0,0.025,288,72,384,363,0.9453125,1839,1839,0.9192629644706748,0.7203631951618158,0.5547135783242203,0.1656496168375955,1.0,0.00013906979390377895,0.010547870476488901,0.000999000999000999,0.6201375492945279,0.0028660232208010394,0.009900990099009901,0.7203631951618158,100,0,0.6712071778140293,0.2275420834852382,0.36877618115617117,0.07643942223224862,133,0.20299036748358038
0,0.05,288,72,384,363,0.9453125,3677,3677,0.8798730964366158,0.7052665407559862,0.5513974734258685,0.15386906733011763,1.0,-0.00010735361044202141,0.008492913085596888,0.000999000999000999,0.6204388391860812,0.0020584593383458504,0.009900990099009901,0.7052665407559862,100,0,0.6286891487625781,0.2275420834852382,0.28824768446036986,0.10534347682901764,75,0.20299036748358038
0,0.1,288,72,384,363,0.9453125,7354,7354,0.8158917504006244,0.690340195225507,0.6056236052871583,0.08471658993834874,1.0,-6.655847055561171e-05,0.00826900921893415,0.000999000999000999,0.619005798114698,0.001353500654113195,0.009900990099009901,0.690340195225507,100,0,0.5913421267337503,0.2275420834852382,0.2120355250665269,0.1474830594656358,27,0.20299036748358038
1,0.01,288,72,384,363,0.9453125,736,736,0.9525220234840865,0.7451670147719704,0.5653273926439961,0.17983962212797433,1.0,-0.0005743532814724211,0.012152571764540475,0.000999000999000999,0.6120174351472597,0.005692703344134089,0.009900990099009901,0.7451670147719704,100,0,0.7543478260869567,0.21828108384939585,0.44231574342435337,0.07135121334253029,196,0.20379959435755615
1,0.025,288,72,384,363,0.9453125,1839,1839,0.9229621268546524,0.726083484211509,0.5570678100031135,0.16901567420839558,1.0,6.417879222440859e-05,0.010385115268619346,0.000999000999000999,0.6237974038986533,0.0027697029722871754,0.009900990099009901,0.726083484211509,100,0,0.6788471995649809,0.21828108384939585,0.3770433746382441,0.07892205843166822,129,0.20379959435755615
1,0.05,288,72,384,363,0.9453125,3677,3677,0.8852380282864238,0.7099616240759448,0.5662891217592159,0.1436725023167289,1.0,-0.0001657927110722086,0.008966113206467013,0.000999000999000999,0.6257753675161316,0.0019118140028880275,0.009900990099009901,0.7099616240759448,100,0,0.625504487353821,0.21828108384939585,0.30683704199226497,0.1280010538071958,78,0.20379959435755615
1,0.1,288,72,384,363,0.9453125,7354,7354,0.8230530549539938,0.695817287924546,0.609298679014316,0.08651860891023,1.0,0.00021636144675408952,0.008434876849956616,0.000999000999000999,0.625904153424016,0.0013350132251340708,0.009900990099009901,0.695817287924546,100,0,0.5923864563502855,0.21828108384939585,0.21140490444568366,0.12621733272521388,30,0.20379959435755615
2,0.01,288,72,384,363,0.9453125,736,736,0.9495879596770405,0.732680855010493,0.5542456380096685,0.17843521700082443,1.0,-0.00044033427217716857,0.011786934170350163,0.000999000999000999,0.6049323547291888,0.0051232741234243165,0.009900990099009901,0.732680855010493,100,0,0.7505163043478258,0.20114647772479677,0.42758008079195814,0.051806530031329366,195,0.20394624985719986
2,0.025,288,72,384,363,0.9453125,1839,1839,0.9188333766352912,0.7154700620216423,0.5656409660004076,0.14982909602123473,1.0,0.00013868973180160228,0.010259862344892333,0.000999000999000999,0.616991622235071,0.002839681229163676,0.009900990099009901,0.7154700620216423,100,0,0.6743012506797172,0.20114647772479677,0.36847464026639565,0.07928019879888736,124,0.20394624985719986
2,0.05,288,72,384,363,0.9453125,3677,3677,0.8794349939530584,0.7009427395794147,0.5595174023733662,0.14142533720604844,1.0,0.00023061227191470223,0.008855898258039022,0.000999000999000999,0.6176210174387576,0.001889469633343726,0.009900990099009901,0.7009427395794147,100,0,0.6288387272232798,0.20114647772479677,0.2857014815430514,0.11411217292611399,73,0.20394624985719986
2,0.1,288,72,384,363,0.9453125,7354,7354,0.8154742830809963,0.68691864171995,0.6010487369558217,0.08586990476412826,1.0,-0.00026680381737056346,0.008182764359688007,0.000999000999000999,0.6186450040484929,0.0012840237509486672,0.009900990099009901,0.68691864171995,100,0,0.5956962197443568,0.20114647772479677,0.18287288711634866,0.10366109033619998,24,0.20394624985719986
3,0.01,288,72,384,363,0.9453125,736,736,0.952716417169583,0.7344687886383726,0.5203136135051044,0.2141551751332682,1.0,8.536885087594403e-05,0.012681461541656752,0.000999000999000999,0.5948961204024186,0.006829670529272691,0.009900990099009901,0.7344687886383726,100,0,0.7511956521739132,0.2291317306299814,0.4438257729737924,0.07299816384726013,200,0.20490068391517866
3,0.025,288,72,384,363,0.9453125,1839,1839,0.9236210759509137,0.7116912755638568,0.5419407923039089,0.1697504832599479,1.0,-0.0002680822547712779,0.010649988380978042,0.000999000999000999,0.6077932912750305,0.003086732082688868,0.009900990099009901,0.7116912755638568,100,0,0.6715334420880914,0.2291317306299814,0.3801723537444044,0.09365914242138189,135,0.20490068391517866
3,0.05,288,72,384,363,0.9453125,3677,3677,0.8864715461552092,0.6970871556060826,0.5441160571761191,0.15297109842996348,1.0,7.693742940227732e-06,0.008734736296987693,0.000999000999000999,0.6074017195480232,0.0020546603840004515,0.009900990099009901,0.6970871556060826,100,0,0.6252134892575469,0.2291317306299814,0.30159797087890594,0.12385692622718696,81,0.20490068391517866
3,0.1,288,72,384,363,0.9453125,7354,7354,0.8257330069088286,0.6835750115823087,0.583847346852317,0.09972766472999173,1.0,6.63758645987722e-05,0.008531300434396073,0.000999000999000999,0.6085485319042269,0.0012403023717908915,0.009900990099009901,0.6835750115823087,100,0,0.5804378569485994,0.2291317306299814,0.21944604086209815,0.13643815021065236,30,0.20490068391517866
4,0.01,288,72,384,363,0.9453125,736,736,0.9515536040438219,0.7407553577436949,0.5480095180375336,0.19274583970616133,1.0,0.00036459037494111334,0.012032757157516885,0.000999000999000999,0.6059308682450284,0.00548195587849184,0.009900990099009901,0.7407553577436949,100,0,0.7551222826086956,0.2272271086740814,0.43542847138326274,0.06198899683964534,201,0.2053023322344557
4,0.025,288,72,384,363,0.9453125,1839,1839,0.9214571161300922,0.7219155076697534,0.5508784099708407,0.17103709769891273,1.0,-9.064824430889262e-05,0.009829659938030042,0.000999000999000999,0.6180901397887237,0.0025458625593404787,0.009900990099009901,0.7219155076697534,100,0,0.686721044045677,0.2272271086740814,0.3700372210886239,0.08323870678865256,128,0.2053023322344557
4,0.05,288,72,384,363,0.9453125,3677,3677,0.882802816461349,0.7071462997115403,0.5548241951119481,0.15232210459959217,1.0,-0.0003340305192070171,0.008631781966290789,0.000999000999000999,0.6177800359666925,0.0020828133596296123,0.009900990099009901,0.7071462997115403,100,0,0.6385259722599945,0.2272271086740814,0.299191370813462,0.12126475147400807,79,0.2053023322344557
4,0.1,288,72,384,363,0.9453125,7354,7354,0.819813977919307,0.6937524192738537,0.6000359257441766,0.09371649352967704,1.0,0.00047163852264128206,0.007790105587665334,0.000999000999000999,0.6196045968904178,0.0013752123750402018,0.009900990099009901,0.6937524192738537,100,0,0.5962822953494696,0.2272271086740814,0.20152565108717554,0.1308001753315477,26,0.2053023322344557
