fold,coupling_bin,n_pairs,mean_coupling,mean_semantic_similarity
0,1,28,-0.32327228327228325,0.1256445971477422
0,2,28,-0.2274236874236874,0.12592767041536473
0,3,28,-0.16676434676434673,0.1303027927503321
0,4,28,-0.10647130647130644,0.13132208559391226
0,5,28,0.04598290598290596,0.1283177775115632
0,6,28,0.261074481074481,0.12754614151391225
0,7,27,0.4263754352643241,0.2240527188741654
0,8,27,0.8758088002532446,0.9792079113342963
0,9,27,0.9139474517252292,0.9732430199112154
0,10,27,0.9407407407407408,0.9745453825935136
1,1,28,-0.3905023547880691,0.12473030436853234
1,2,28,-0.31131170416884707,0.1215919170437654
1,3,28,-0.26140327926042206,0.12259962837939772
1,4,28,-0.21142944357230073,0.12324456348416621
1,5,28,-0.007522239665096801,0.11868756640856819
1,6,28,0.26955782312925164,0.11585926961652988
1,7,27,0.43187265409487624,0.2151804779749759
1,8,27,0.8281101614434946,0.9803942125188051
1,9,27,0.8966445077556185,0.9772780280392575
1,10,27,0.9284809840365392,0.9795034936019441
2,1,28,-0.16494418280132558,0.11457822203750274
2,2,28,-0.08091313448456301,0.11882550901545927
2,3,28,-0.04038025466596895,0.12095061643490843
2,4,28,-0.014085121227978366,0.12018913360118313
2,5,28,0.015916623059480196,0.12124848406296948
2,6,28,0.05291732077446361,0.12053885319347654
2,7,27,0.19208158097046985,0.21796951908556148
2,8,27,0.8646723646723644,0.9783142786956839
2,9,27,0.8973228417672859,0.9765600740367125
2,10,27,0.9329353773798216,0.9801795263606266
